jbID,Family,Genus,Species,Sundaland,Phil_Palawan,Phil_other,Sulawesi,Moluccas,Lesser_Sundas,New_Guinea,Growth_form,Elev_min,Elev_max,Fruit_type,Fruit_lg_min,Fruit_lg_max,Fruit_wd_min,Fruit_wd_max,Fruit_color,Flesh_color,Fruit_odor,Fruit-shape,Seed-attachment,Num_seeds_min,Num_seeds_max,Seed_lg_ming,Seed_lg_max,Seed_wd_min,Seed_wd_max,Seed_mass,Notes
4977,Rosaceae,Acaena,anserinifolia,0,0,0,0,0,0,1,herb,1900,4100,achene,,3.0,,,red-purple,,,,,,,,,,,,
343,Araliaceae,Acanthopanax,malayanus,1,0,0,0,0,0,0,tree,1400,2600,,,10.0,,8.0,,,,oblate-spheroidal,,,,,,,,,
344,Araliaceae,Acanthopanax,trifoliatus,0,0,1,0,0,0,0,tree,1100,1400,,,5.0,,,,,,spheriodal,,,,,,,,,
8,Amaranthaceae,Achyranthes,aspera,1,0,0,0,0,1,0,herb,1,2300,,,,,,,,,,,,,,,,,,"""Distr:-""""Throughout-the-Archipelago-possibly-not-indigenous-in-Malaysia"""""""
9,Amaranthaceae,Achyranthes,bidentata,1,1,1,1,1,1,1,herb,350,2500,,,,,,,,,,,,,,,,,,
1,Acoraceae,Acorus,calamus,1,,,1,0,1,1,herb,0,2800,berry,,,15.0,20.0,brown-yellow,,,oblong-obovoid,,2,3,3.5,4.5,2.0,3.5,,few to several seeded
2,Acoraceae,Acorus,gramineus,0,0,1,0,0,0,0,herb,,2600,berry,,,10.0,15.0,white-yellow,,,obovoid-globose,,2,3,2.0,3.0,0.8,1.2,,few to several seeded
3,Actinidiaceae,Actinidia,callosa,1,0,0,0,0,0,0,shrub,1000,2040,berry,17.0,27.0,14.0,18.0,grey-green,,,oboval-to-broadly-elliptic,,,,3.0,,1.5,,,
5,Actinidiaceae,Actinidia,latifolia,1,0,0,0,0,0,0,shrub,900,1500,berry,30.0,40.0,,20.0,brown,,,acorn,,,,2.0,,1.0,,,
4664,Passifloraceae,Adenia,cordifolia,1,1,0,0,0,0,0,liana,0,1200,,50.0,80.0,15.0,35.0,,,,ellipsoid,,10,30,7.0,8.5,8.0,10.0,,
4665,Passifloraceae,Adenia,crassa,0,0,1,0,0,0,0,tree,,,,50.0,60.0,45.0,50.0,,,,subglobose,,,,,,,,,
4666,Passifloraceae,Adenia,heterophylla,0,0,0,0,0,0,1,tree,,,,10.0,30.0,,,yellow-red,,,,,6,10,5.0,10.0,4.5,10.0,,
4667,Passifloraceae,Adenia,kinabaluensis,1,0,0,0,0,0,0,liana,1500,1800,,35.0,40.0,35.0,40.0,,,,globose,,15,15,8.0,10.0,8.0,9.0,,
4668,Passifloraceae,Adenia,macrophylla,1,0,0,0,0,0,0,liana,0,1000,,15.0,60.0,15.0,25.0,,,,ovoid,,,,,,6.0,9.0,,
4671,Passifloraceae,Adenia,penangiana,1,0,0,0,0,0,0,tree,0,600,,2.0,5.0,,,,,,,,,,,,4.0,7.0,,
10,Amaranthaceae,Aerva,curtisii,1,0,0,0,0,0,0,herb,150,1000,,,,,,,,,,,,,,,,,,
11,Amaranthaceae,Aerva,lanata,1,1,1,0,0,1,1,herb,0.5,100,,,,,,,,,,,,,,,,,,
12,Amaranthaceae,Aerva,sanguinolenta,1,1,1,1,1,1,0,herb,5,200,,,,,,,,,,,,,,,,,,
618,Caesalpiniaceae,Afzelia,javanica,1,0,0,0,0,0,0,tree,400,800,pod,70.0,140.0,50.0,75.0,,,,,,,,18.0,23.0,15.0,22.0,,
619,Caesalpiniaceae,Afzelia,rhomboidea,1,0,1,0,0,0,0,tree,0,350,pod,90.0,120.0,50.0,70.0,,,,,,,,30.0,170.0,15.0,25.0,,
2172,Ericaceae,Agapetes,alberti-eduardi,0,0,0,0,0,0,1,tree,3350,3600,berry,15.0,15.0,11.0,12.0,black-purple,,,ellipsoid-subglobose,,,,,,,,,
2173,Ericaceae,Agapetes,brassii,0,0,0,0,0,0,1,shrub,2300,2835,,,,,,,,,,,,,,,,,,no-fruit-info
2174,Ericaceae,Agapetes,carrii,0,0,0,0,0,0,1,shrub,2135,2440,,,,,,,,,,,,,,,,,,no-fruit-info
